id,cid,catid1,catid2,catid3,tag,blabel,publicview,imgvh,title1,title2,title3,title4,title5,title6,creator1,creator2,creator3,creator4,creator5,creator6,creator7,creator8,creator9,creator10,creator11,creator12,creator13,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,description1,description2,description3,description4,description5,description6,publisher1,publisher2,contributor1,date1,date2,type1,type2,format1,format2,identifier1,identifier2,identifier3,source1,language1,language2,language3,relation1,coverage1,pdffile,pdfsize
16,0,0,0,0,0012_001365_000216,"""Has Father Been Here?""",Y,650,Has Father Been Here?,,,,,,,"Locke, E. W.",,,"Locke, E. W.",,,,,,,,,,,,,,,,,,,,,,,,Boston : G.D. Russell & Company,,,1870,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 16",English,,,,,0012_001365_000216.pdf,3559515
17,0,0,0,0,0012_001365_000217,"""Don't You Go"","" Tommy""",Y,650,"Don't You Go, Tommy",,,,,,,"Lockwood, C. T.",,,"Lockwood, C. T.",,,,,,,,,,,,,,,,,,,,,,,,"Detroit, MI : Whitemore, Swan & Stephens",,,1869,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 17",English,,,,,0012_001365_000217.pdf,4045861
18,0,0,0,0,0012_001365_000218,"""Beware!""",Y,650,Beware!,,,,,,"Kellogg, Clara Louisa","Moulton, Charles ",,,"Longfellow, H.  ",,,,,,,,,,,,,,,,,,,,,,,,New York  : G. Schirmer,,,1865,,Text,,1 score (x p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 18",English,,,,,0012_001365_000218.pdf,4369852
19,0,0,0,0,0012_001365_000219,"""Beware!""",Y,650,Beware!,,,,,,,"Perring, James Ernest ",,,"Longfellow, H. W.",,,,,,,,,,,,,,,,,,,,,,,,New York  : Wm. A. Pond & Co. ,,,1864,,Text,,1 score (8 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 19",English,,,,,0012_001365_000219.pdf,5093540
20,0,0,0,0,0012_001365_000220,"""Waiting""",Y,650,Waiting,,,,,,,"Millard, H.",,,"Flagg, Ellen H. ","Prati, R.",,,,,,,,,,,,,,,,,,,,,,,New York  : Wm. A. Pond & Co. ,,,1871,,Text,,1 score (8 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 20",English,Italian,,,,0012_001365_000220.pdf,4915257
21,0,0,0,0,0012_001365_000221,"""When the Tide Comes In""",Y,650,When the Tide Comes In,,,,,,,"Millard, Harrison",,,"Kean, H. Ashland",,,,,,,,,,,,,,,,,,,,,,,,Boston : G.D. Russell & Company,,,1875,,Text,,1 score (8 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 21",English,,,,,0012_001365_000221.pdf,4956052
22,0,0,0,0,0012_001365_000222,"""Flag of Our Union""",Y,650,Flag of Our Union,,,,,,"Bishop, Anna","Wallace, W. Vincent",,,"Morris, George P.",,,,,,,,,,,,,,,,,,,,,,,,New York  : William Hall & Son,,,1851,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 22",English,,,,,0012_001365_000222.pdf,3474464
23,0,0,0,0,0012_001365_000223,"""Voice of My Heart""",Y,650,Voice of My Heart,,,,,,,"Mortimer, Howard",,,,,,,,,,,,,,,,,,,,,To Miss Mary Wright,,,,,,"Cincinnati, OH : J.L. Peters & Bro.",,,1867,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 23",English,,,,,0012_001365_000223.pdf,4212432
24,0,0,0,0,0012_001365_000224,"""Girls"","" Get a Home of Your Own""",Y,650,"Girls, Get a Home of Your Own",,,,,,,"Tucker,  Henry ",,,"Pollard, Josephine",,,,,,,,,,,,,,,,,,,,,,,,New York  : Charles W. Harris,,,1866,,Text,,1 score (4 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 24",English,,,,,0012_001365_000224.pdf,3154629
25,0,0,0,0,0012_001365_000225,"""Silver Threads Among the Gold""",Y,650,Silver Threads Among the Gold,,,,,,"Raymond, W. of Bryant's Minstrels","Danks, H. P. ",,,"Rexford, Eben E",,,,,,,,,,,,,,,,,,,,,,,,New York  : Charles W. Harris,,,1873,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 25",English,,,,,0012_001365_000225.pdf,4634692
26,0,0,0,0,0012_001365_000226,"""Just Before the Battle"","" Mother""",Y,650,"Just Before the Battle, Mother",,,,,,,"Root, George F.",,,"Root, George F.",,,,,,,,,,,,,,,,,,,,,,,,"Chicago, IL : Root & Cady",,,1862,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 26",English,,,,,0012_001365_000226.pdf,5018159
27,0,0,0,0,0012_001365_000227,"""Send Me an Answer from Over the Sea""",Y,650,Send Me an Answer from Over the Sea,,,,,,,"Pratt, Charles E.",,,Miss I. T. S.,,,,,,,,,,,,,,,,,,,,,,,,No City : R. A. Saalfield,,,1879,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 27",English,,,,,0012_001365_000227.pdf,3987627
28,0,0,0,0,0012_001365_000228,"""Who Will Care for Mother Now?""",Y,650,Who Will Care for Mother Now?,,,,,,,"Sawyer, Charles Carroll",,,"Sawyer, Charles Carroll",,,,,,,,,,,,,,,,,,,,,,,,New York  : Sawyer & Thompson,,,1863,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 28",English,,,,,0012_001365_000228.pdf,3982938
